low,ltp,open,previous_close,symbol
616.50,616.50,618.00,617.20,ACLBSL
228.90,229.00,230.00,230.30,ADBL
"1,020.00","1,020.00","1,020.00","1,020.00",ADBLD83
435.00,436.60,460.00,455.00,AHL
189.20,190.00,194.90,191.80,AHPC
223.00,224.70,232.00,231.00,AKJCL
178.00,179.80,185.00,184.50,AKPL
650.00,662.00,652.00,664.80,ALBSL
590.00,594.90,597.00,604.70,ALICL
"1,838.30","2,003.00","1,953.00","1,953.00",ANLB
182.20,182.70,190.00,186.30,API
595.00,598.00,599.10,608.90,AVYAN
253.00,253.10,266.00,260.90,BARUN
"3,610.00","3,650.00","3,625.00","3,560.00",BBC
356.20,360.20,370.00,375.00,BEDC
320.00,333.00,330.30,337.00,BFC
581.20,595.00,595.00,600.00,BGWT
460.00,489.00,478.00,478.90,BHDC
355.00,369.00,385.00,383.90,BHL
476.00,476.00,506.00,510.00,BHPL
443.80,449.90,457.00,464.00,BNHC
"12,641.60","13,415.20","12,641.60","12,393.80",BNL
"13,200.00","13,950.00","13,400.00","13,194.00",BNT
303.10,304.00,306.10,308.80,BPCL
"1,205.00","1,221.00","1,255.00","1,280.00",BPW
8.53,8.70,8.53,8.70,C30MF
830.00,840.00,832.00,836.00,CBBL
999.00,"1,000.10",999.00,"1,000.80",CBLD88
331.00,333.00,335.20,337.00,CFCL
829.00,830.00,863.90,847.00,CGH
466.00,470.00,468.00,469.00,CHCL
973.90,975.50,988.00,"1,008.00",CHDC
303.80,303.80,313.00,315.00,CHL
"2,070.00","2,070.00","2,094.00","2,094.00",CIT
580.40,594.60,592.20,603.00,CITY
540.00,573.00,540.00,551.00,CKHL
428.00,428.20,434.00,434.20,CLI
8.46,8.46,8.47,8.56,CMF1
7.51,7.81,7.80,7.80,CMF2
408.00,420.00,408.00,416.10,CORBL
"1,085.00","1,142.40","1,085.00","1,099.00",CYCL
162.50,163.30,164.00,165.00,CZBIL
745.00,748.00,765.00,758.90,DDBL
190.30,201.00,214.00,209.90,DHPL
760.00,766.00,773.00,772.00,DLBS
380.00,388.50,398.80,406.90,DOLTI
467.00,491.00,494.00,504.00,DORDI
511.20,512.30,515.00,516.00,EBL
"1,008.30","1,008.30","1,008.30","1,008.30",EBLD85
340.00,345.00,340.00,346.00,EDBL
426.50,441.50,440.00,448.80,EHPL
740.00,740.00,746.30,760.00,ENL
582.00,585.00,605.00,607.90,FMDBL
"1,033.00","1,054.90","1,045.00","1,054.00",FOWAD
896.10,900.00,896.10,910.00,GBBD85
363.00,364.10,367.00,368.70,GBBL
"1,010.10","1,010.10","1,010.20","1,010.00",GBD80/81
880.00,880.00,880.00,885.00,GBILD86/87
186.50,186.50,189.00,189.00,GBIME
100.00,100.00,100.00,100.00,GBIMEP
523.00,561.80,523.00,533.00,GBLBS
460.00,460.00,465.80,473.80,GCIL
433.60,437.30,435.80,435.20,GFCL
163.70,164.70,174.90,171.50,GHL
802.00,812.00,802.00,811.20,GILB
892.00,896.00,907.80,890.00,GLBSL
218.00,219.80,226.50,224.00,GLH
814.40,814.40,829.00,815.00,GMFBS
351.10,351.10,360.00,358.00,GMFIL
351.30,358.50,362.90,358.30,GRDBL
577.30,619.90,577.30,589.00,GUFL
430.00,430.00,449.20,448.00,GVL
8.46,8.83,8.46,8.63,H8020
848.00,850.00,875.00,875.00,HATHY
186.80,188.00,188.00,190.50,HBL
139.00,140.00,141.20,141.20,HDHPC
"1,466.20","1,470.00","1,495.00","1,486.00",HDL
560.20,560.20,573.00,567.10,HEI
350.00,369.00,350.00,348.00,HEIP
323.40,327.90,334.00,328.00,HHL
174.50,174.60,177.70,177.70,HIDCL
100.20,100.50,100.30,100.80,HIDCLP
560.00,570.00,590.00,590.10,HLBSL
383.00,383.20,390.00,387.90,HLI
279.00,279.10,285.00,290.00,HPPL
617.60,624.00,633.20,633.20,HRL
305.20,310.00,329.00,335.50,HURJA
484.00,489.90,493.80,485.00,ICFC
535.20,537.00,540.10,540.10,IGI
358.00,371.00,364.90,372.30,IHL
665.10,690.00,675.50,689.00,ILBS
513.00,514.90,514.00,520.90,ILI
"1,052.00","1,070.00","1,071.00","1,089.90",JALPA
295.00,295.00,295.10,297.80,JBBL
"1,245.20","1,253.10","1,250.00","1,266.00",JBLB
361.20,363.00,373.00,366.00,JFL
368.00,412.00,375.00,375.00,JOSHI
854.00,873.90,854.00,863.00,JSLBB
143.00,145.00,145.00,146.00,KBL
"1,005.00","1,005.00","1,065.00","1,052.00",KBSH
8.40,8.54,8.40,8.57,KDBY
758.20,765.00,758.20,771.00,KDL
7.85,8.01,7.85,8.00,KEF
244.00,249.90,260.00,256.10,KKHC
851.70,868.00,852.00,869.00,KLBSL
638.10,645.00,654.90,642.10,KMCDB
402.00,405.00,415.00,414.90,KPCL
366.70,366.90,380.00,374.00,KRBL
343.00,349.50,345.00,348.10,KSBBL
102.00,102.00,102.00,175.00,KSBBLP
385.10,387.00,393.00,393.00,LBBL
193.10,194.60,199.00,195.50,LEC
9.55,9.55,9.64,9.50,LEMF
"1,316.10","1,337.50","1,348.00","1,338.00",LICN
752.00,752.30,755.00,756.60,LLBS
158.00,159.00,158.00,160.70,LSL
8.01,8.01,8.10,8.20,LUK
7.79,7.82,7.84,7.84,LVF2
395.10,421.00,401.80,410.00,MAKAR
681.00,700.00,699.00,706.00,MANDU
315.00,315.00,322.00,322.00,MBJC
176.00,180.00,176.00,178.00,MBL
"1,002.10","1,005.00","1,002.10","1,000.10",MBLD2085
330.00,338.00,334.00,340.00,MCHL
393.00,393.00,406.70,400.90,MDB
288.40,296.00,303.90,310.00,MEHL
221.00,221.00,221.00,225.20,MEL
601.00,601.30,612.50,616.10,MEN
526.20,538.00,532.00,536.20,MERO
506.20,510.00,513.00,510.20,MFIL
924.00,924.00,958.00,940.10,MFLD85
561.70,625.00,600.80,613.00,MHCL
386.00,405.90,409.00,411.00,MHL
251.00,251.00,258.40,262.00,MHNL
930.00,940.00,930.00,935.70,MKCL
295.20,300.00,300.00,305.00,MKHC
362.10,372.90,374.30,381.10,MKHL
482.00,501.00,488.10,497.90,MKJC
636.00,646.00,646.00,646.00,MKLB
783.10,799.90,799.00,799.00,MLBBL
323.00,326.00,326.00,327.00,MLBL
640.00,650.00,655.00,666.00,MLBS
"1,592.00","1,598.00","1,624.60","1,592.80",MLBSL
7.20,7.22,7.22,7.22,MMF1
538.70,538.80,549.00,549.00,MMFDB
410.20,436.00,429.40,438.00,MMKJL
355.00,356.00,358.00,358.50,MNBBL
342.10,349.70,353.90,347.00,MPFL
625.00,639.00,650.00,654.50,MSHL
830.00,830.20,846.80,864.00,MSLB
410.00,416.30,427.00,421.00,NABBC
443.00,445.00,450.00,449.00,NABIL
511.50,516.00,519.00,520.00,NADEP
8.10,8.26,8.40,8.51,NBF2
7.39,7.52,7.39,7.54,NBF3
222.00,223.00,223.10,226.00,NBL
899.00,899.00,899.00,899.00,NBLD85
"1,550.00","1,552.10","1,555.00","1,570.00",NESDO
348.00,354.00,353.50,348.00,NFS
305.00,309.00,320.00,317.90,NGPL
422.00,425.00,438.10,436.00,NHDL
156.90,157.20,156.90,160.00,NHPC
"1,014.00","1,014.00","1,014.00","1,015.00",NIBD2082
900.00,900.00,900.00,900.00,NIBD84
7.90,7.96,7.90,8.01,NIBLGF
7.16,7.30,7.16,7.29,NIBSF2
423.40,427.00,438.60,440.00,NICA
8.37,8.37,8.37,8.51,NICBF
8.60,8.61,8.64,8.64,NICFC
9.13,9.13,9.13,9.19,NICGF
7.45,7.56,7.60,7.75,NICGF2
835.00,835.90,860.00,850.00,NICL
537.90,544.00,556.00,546.00,NICLBSL
8.50,8.80,8.63,8.80,NICSF
208.10,209.00,211.00,211.00,NIFRA
805.10,810.00,805.10,806.10,NIL
164.50,166.00,167.00,166.70,NIMB
138.50,138.50,141.00,143.80,NIMBPO
523.00,529.90,543.00,543.90,NLBBL
732.00,735.00,740.80,742.30,NLG
600.00,605.00,615.00,611.00,NLIC
550.30,555.00,575.00,567.80,NLICL
180.00,180.10,182.00,182.80,NMB
9.15,9.15,9.20,9.30,NMB50
507.70,516.00,507.70,510.00,NMBMF
"1,053.00","1,070.00","1,065.00","1,059.10",NMFBS
747.00,753.10,770.00,757.90,NRIC
343.00,345.00,358.00,358.00,NRM
560.00,561.90,585.00,583.40,NRN
8.90,9.07,9.00,9.00,NSIF2
846.00,847.00,872.10,855.00,NTC
613.20,613.20,625.00,624.00,NUBL
734.30,765.00,734.30,748.70,NWCL
280.00,285.00,290.00,294.90,NYADI
747.80,760.00,762.00,770.00,OHL
902.00,902.00,902.00,900.00,PBD85
"1,000.00","1,001.00","1,000.00","1,000.00",PBD88
"1,001.00","1,002.00","1,001.00","1,005.00",PBLD84
194.10,197.00,194.10,197.80,PCBL
363.00,365.30,365.10,365.00,PFL
323.40,326.20,341.10,348.00,PHCL
254.00,259.00,268.80,263.60,PMHPL
505.00,510.00,506.50,514.00,PMLI
270.10,274.00,278.00,280.00,PPCL
340.00,342.00,345.00,344.20,PPL
767.00,772.00,783.00,778.90,PRIN
314.00,314.30,320.00,316.00,PROFL
8.38,8.40,8.41,8.41,PRSF
149.00,149.40,150.00,150.60,PRVU
8.40,8.60,8.40,8.42,PSF
247.20,249.00,257.00,260.00,RADHI
467.00,467.00,485.00,492.00,RAWA
"13,500.00","13,513.00","14,157.00","13,880.00",RBCL
"10,634.00","10,846.60","11,290.00","11,100.00",RBCLPO
321.10,321.10,322.70,329.20,RFPL
291.10,300.00,305.00,307.70,RHGCL
281.40,284.00,287.00,287.10,RHPL
192.10,193.00,200.00,202.00,RIDI
351.00,351.30,365.10,358.00,RLFL
7.65,7.67,7.65,7.76,RMF1
8.33,8.33,8.33,8.49,RMF2
428.10,428.60,430.00,433.30,RNLI
525.00,525.00,545.00,538.00,RSDC
706.20,709.40,706.20,719.90,RURU
602.00,602.00,625.00,612.80,SABSL
297.10,298.90,302.00,301.80,SADBL
173.00,173.00,173.00,173.00,SADBLP
9.82,9.82,9.96,9.83,SAEF
8.60,8.63,8.60,8.62,SAGF
533.40,536.00,550.00,550.90,SAHAS
655.00,659.00,655.00,663.00,SALICO
363.60,363.60,394.00,0.00,SALICOPO
"2,018.00","2,176.30","2,018.00","1,978.50",SAMAJ
234.70,234.90,235.50,235.00,SANIMA
253.40,254.20,257.00,259.10,SAPDBL
7.56,7.57,7.56,7.68,SBCF
885.00,890.00,885.00,900.00,SBD87
285.10,288.00,289.20,289.00,SBI
221.60,226.00,221.60,226.00,SBL
"1,012.20","1,012.20","1,012.20","1,020.00",SBLD2082
135.00,135.00,135.00,135.00,SBLPO
513.10,513.10,518.50,521.00,SCB
603.00,607.00,625.00,625.00,SDLBSL
8.19,8.19,8.19,8.03,SEF
305.20,307.10,310.90,305.00,SFCL
7.90,8.00,7.90,8.00,SFEF
9.40,9.60,9.40,9.55,SFMF
313.80,315.00,325.10,331.00,SGHC
505.00,506.90,511.00,512.00,SGIC
210.50,211.00,221.00,221.20,SHEL
374.00,375.10,380.00,380.00,SHINE
465.00,467.10,468.00,468.00,SHIVM
436.00,440.00,453.60,447.00,SHL
858.00,860.00,861.00,875.00,SHLB
344.50,346.80,345.00,345.20,SHPC
685.00,686.10,702.00,702.00,SICL
355.00,358.90,363.90,357.00,SIFC
8.23,8.23,8.29,8.16,SIGS2
8.77,8.89,8.77,8.77,SIGS3
495.00,496.00,509.00,509.10,SIKLES
310.00,314.00,318.00,315.90,SINDU
280.00,280.00,285.00,285.90,SJCL
491.20,491.20,510.90,501.00,SJLIC
821.20,826.00,828.00,830.20,SKBBL
630.00,633.10,653.00,653.90,SLBBL
410.00,410.00,410.00,410.00,SLBBLP
778.00,790.30,836.40,820.00,SLBSL
7.85,7.87,7.86,7.95,SLCF
598.00,607.00,609.90,608.50,SMATA
947.00,947.00,951.00,959.50,SMB
832.80,880.00,879.90,867.00,SMFBS
665.00,690.00,693.00,680.20,SMH
471.20,478.90,504.30,494.50,SMHL
390.10,399.00,405.00,411.00,SMJC
560.00,571.00,560.00,565.30,SNLI
416.50,418.50,432.50,424.10,SONA
597.00,680.00,607.00,619.00,SPC
256.00,259.00,267.90,264.00,SPDL
462.10,463.00,479.00,479.50,SPHL
715.50,720.00,734.00,733.90,SPIL
636.30,649.00,678.30,665.00,SPL
"1,000.50","1,000.50","1,000.50","1,000.20",SRBLD83
427.00,428.10,431.10,435.00,SRLI
167.10,169.90,176.00,174.00,SSHL
"4,978.50","4,980.00","5,128.00","5,030.00",STC
721.20,722.00,728.00,728.00,SWBBL
659.80,668.00,659.80,673.00,SWMF
403.20,406.50,403.20,409.00,TAMOR
538.00,538.50,556.00,555.50,TPC
755.00,755.00,779.00,765.10,TRH
509.00,530.00,525.00,535.00,TSHL
559.00,560.00,581.50,570.40,TVCL
521.10,522.00,535.00,535.00,UAIL
345.00,360.00,359.70,367.00,UHEWA
"1,060.00","1,087.00","1,090.00","1,097.90",ULBSL
320.00,330.00,328.10,334.00,ULHC
259.00,262.20,267.00,268.70,UMHL
357.00,358.00,373.00,372.00,UMRH
248.50,252.00,265.20,260.00,UNHPL
"39,398.00","39,500.00","39,398.00","39,086.00",UNL
"1,217.00","1,232.00","1,217.00","1,233.00",UNLB
215.60,216.00,217.10,220.90,UPCL
198.90,198.90,205.90,203.00,UPPER
371.10,372.00,382.00,382.20,USHEC
460.00,462.00,477.50,487.00,USHL
"1,010.00","1,050.00","1,028.00","1,030.00",USLB
604.80,604.80,611.10,617.00,VLBS
514.00,519.00,543.00,533.10,VLUCL
800.00,818.00,800.00,800.00,WNLB
